tier,segment,segment_name,market_role,market_metro,name,city,state,rating,reviews,relevance_score,status,website,phone,address,editorial_summary,google_primary_type,query_angle,company_id
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Beat The Bomb Atlanta,Atlanta,GA,5,12064,70,prospect,https://www.beatthebomb.com/locations/atlanta,(518) 207-9440,"1483 Chattahoochee Ave NW, Atlanta, GA 30318, USA",,,,fed4dca1-cb17-4ee8-a477-1e6b03ac1340
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,atlanta,Sandbox VR,Atlanta,GA,4.9,10271,70,prospect,https://sandboxvr.com/atlanta,(470) 731-8119,"1115 Howell Ml Rd P180, Atlanta, GA 30318, USA",,,,b66b4c96-ade4-492e-9f44-f46c207951e2
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Sprocket Rocket Party Bike,Nashville,TN,5,7151,70,prospect,https://sprockettours.com/,(615) 707-1368,"535 Lafayette St, Nashville, TN 37203, USA",,,,a60da90d-956a-450d-9472-dacde5a9c8ac
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,Trill On Wheels Hip-Hop Party Bike,Houston,TX,4.9,5019,70,prospect,https://trillonwheels.com/,(832) 205-8423,"3900 Almeda Rd, Houston, TX 77004, USA",,,,aa125053-d9e6-4d64-96d6-392bb4618692
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Gray Line New Orleans,New Orleans,LA,4.9,4608,70,prospect,http://www.graylineneworleans.com/,(504) 569-1401,"400 Toulouse St, New Orleans, LA 70130, USA",,,,2c872f08-5a90-4871-8bef-13c357138f8d
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,"Tastebud Tours, The French Quarter's Signature Food/History & Cocktail Experiences in New Orleans",New Orleans,LA,5,4250,70,prospect,https://tastebudtours.com/,(504) 377-6601,"2649 Desoto St, New Orleans, LA 70119, USA",,,,b3947489-b5ca-4185-ba1f-14c1c78f24e0
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,City Sightseeing New Orleans,New Orleans,LA,4.8,4074,70,prospect,http://www.citysightseeingneworleans.com/,(800) 362-1811,"700 Decatur St, New Orleans, LA 70116, USA",,,,cf405115-50df-4fad-a8f6-6e9fb8c0b45b
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,new_orleans,Nola Party Barge - Swamp Tour Party Boat,New Orleans,LA,4.9,3538,70,prospect,https://www.nolapartybarges.com/,(504) 264-1056,"2101 Paris Rd, New Orleans, LA 70129, USA",,,,14155dca-350c-45be-a481-1f6fa89b666d
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,houston,AffordableTours.Com,Sugar Land,TX,4.8,3404,70,prospect,http://www.affordabletours.com/,(800) 935-2620,"12808 W Airport Blvd Suite 205, Sugar Land, TX 77478, USA",,,,59641b9a-872f-47e9-acd0-6dc925b08a60
1,bachelorette-planner,Bachelorette Party Planners & Concierges,feeder,nashville,Honky Tonk Party Express Bus,Nashville,TN,4.8,3388,70,prospect,http://www.honkytonkpartyexpress.com/,(615) 433-5594,"1343 Lewis St, Nashville, TN 37210, USA",,,,021cd4e9-e764-4861-b792-41de46f92beb
