status,to_email,restaurant,est_upside,subject,body
ready,fudpucker@fudpucker.com,Fudpucker's Beachside Bar & Grill,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Fudpucker's Beachside Bar & Grill's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Fudpucker's Beachside Bar & Grill? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,mgrbpdest@srgcorp.net,The Back Porch,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on The Back Porch's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for The Back Porch? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Boshamps Seafood and Oyster House,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Boshamps Seafood and Oyster House's menu:

• As a $$$ spot, your pricing likely trails the 30A median for your tier.
  30A $$$ entrées run ~$32 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Boshamps Seafood and Oyster House? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,bistrology98@gmail.com,Bistrology Breakfast Brunch & Dinner,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Bistrology Breakfast Brunch & Dinner's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Bistrology Breakfast Brunch & Dinner? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Merlins Pizza,12000,"found ~$12,000/yr in Merlins Pizza's menu (from a 30A neighbor)","Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Merlins Pizza's menu:

• 16"" Large ($42), 14"" Large ($36), 16"" X-Large ($36) and 45 others are priced on the dollar — charm-pricing these (e.g. 16"" Large $42 → $41.95) reads cheaper and lifts orders.  (~$6,000/yr)
• 5 photos at $9 is 58% below your ~$22 entrée average — test $10.

Conservatively that's about $12,000/yr you're leaving on the table — and that's just the two items that jumped out first.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Merlins Pizza? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
ready,terry@surfhutdestin.com,Surf Hut,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Surf Hut's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Surf Hut? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Grand Boulevard at Sandestin,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Grand Boulevard at Sandestin's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Grand Boulevard at Sandestin? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Donut Hole Bakery and Cafe,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Donut Hole Bakery and Cafe's menu:

• As a $ spot, your pricing likely trails the 30A median for your tier.
  30A $ entrées run ~$13 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Donut Hole Bakery and Cafe? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,Outcast Seafood Miramar Beach,6000,"found ~$6,000/yr in Outcast Seafood Miramar Beach's menu (from a 30A neighbor)","Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on Outcast Seafood Miramar Beach's menu:

• Win ! Enter by writing a dish review to help others. Drawing 7/1. ($500) are priced on the dollar — charm-pricing these (e.g. Win ! Enter by writing a dish review to help others. Drawing 7/1. $500 → $499.95) reads cheaper and lifts orders.  (~$6,000/yr)

Conservatively that's about $6,000/yr you're leaving on the table — and that's just the two items that jumped out first.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for Outcast Seafood Miramar Beach? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
skip:no-email,,The Whale's Tail Beach Bar & Grill,6000,a quick menu note from a 30A neighbor,"Hi there,

We're Cristian and Mariana — a brother and sister who spend a good chunk of the year on 30A. We run Sun & Moon (two little rental houses in Seagrove), we love championing the small businesses and restaurants down here, and we're pretty obsessed with great food and good company. That's why we built Prix, a pricing tool for fellow 30A restaurants — and before we say anything else, here's what it flagged on The Whale's Tail Beach Bar & Grill's menu:

• As a $$ spot, your pricing likely trails the 30A median for your tier.
  30A $$ entrées run ~$19 median; most independents sit 5–9% under.

That's just from your Google profile — connect your menu and the agent shows you the exact items and prices to test.

It's free for your first 3 months, then $39.99/month — and since 30A's home for us, we're rolling it out to local spots first. It works off your public menu, so there's nothing to install.

Want the full breakdown for The Whale's Tail Beach Bar & Grill? Just reply ""send it"" and we'll get it over to you — and either way, keep doing what you do, we love what y'all have built.

— Cristian & Mariana
  Sun & Moon at 30A · experience@sunandmoon30a.com

Sun & Moon at 30A · 53 Crystal Court, Seagrove Beach, FL 32459 · Not the right fit? Just reply ""unsubscribe"" and we'll take you off the list."
