sent_at,project,restaurant,email,subject
2026-06-24T16:27:45.061730+00:00,30a-restaurants,Fudpucker's Beachside Bar & Grill,fudpucker@fudpucker.com,a quick menu note from a 30A neighbor
2026-06-24T16:27:52.786240+00:00,30a-restaurants,The Back Porch,mgrbpdest@srgcorp.net,a quick menu note from a 30A neighbor
2026-06-24T16:28:00.660114+00:00,30a-restaurants,Bistrology Breakfast Brunch & Dinner,bistrology98@gmail.com,a quick menu note from a 30A neighbor
2026-06-24T16:28:08.666987+00:00,30a-restaurants,Surf Hut,terry@surfhutdestin.com,a quick menu note from a 30A neighbor
2026-06-24T16:28:16.285167+00:00,30a-restaurants,Commelfo Restaurant,commelfo.restaurant@gmail.com,a quick menu note from a 30A neighbor
2026-06-24T16:28:24.101767+00:00,30a-restaurants,Stinky's Fish Camp,dawson@dawsongroupseasidefl.com,a quick menu note from a 30A neighbor
2026-06-24T16:28:33.581266+00:00,30a-restaurants,Louisiana Lagniappe,mgrlldest@srgcorp.net,"found ~$12,000/yr in Louisiana Lagniappe's menu (from a 30A neighbor)"
2026-06-24T16:28:41.163969+00:00,30a-restaurants,Shades Bar & Grill,info@shades30a.com,"found ~$12,000/yr in Shades Bar & Grill's menu (from a 30A neighbor)"
2026-06-24T16:28:52.181497+00:00,30a-restaurants,Great Southern Cafe,music@chefjimshirley.com,a quick menu note from a 30A neighbor
2026-06-24T16:29:00.216929+00:00,30a-restaurants,Mezcal Mexican Grill,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"found ~$10,000/yr in Mezcal Mexican Grill's menu (from a 30A neighbor)"
2026-06-24T16:29:08.556041+00:00,30a-restaurants,Buffalo Jack's Legendary Wings & Pizza,buffalojacks01@gmail.com,a quick menu note from a 30A neighbor
